Scan,Time,101 (C),Alarm 101,102 (C),Alarm 102,103 (C),Alarm 103,113 (C),Alarm 113,114 (C),Alarm 114,115 (C),Alarm 115,116 (C),Alarm 116,117 (C),Alarm 117,237 (VDC),Alarm 237,238 (VDC),Alarm 238
1,2/28/2019 11:34:28:254,19.708,0,19.927,0,19.846,0,20.663,0,20.709,0,20.708,0,20.661,0,20.46,0,-1.26638,0,-1.2775541,0
2,2/28/2019 11:34:38:241,19.706,0,19.922,0,19.841,0,20.66,0,20.711,0,20.692,0,20.646,0,20.472,0,-1.2665073,0,-1.2775668,0
3,2/28/2019 11:34:48:260,19.7,0,19.929,0,19.841,0,20.673,0,20.696,0,20.704,0,20.646,0,20.462,0,-1.2664182,0,-1.2775413,0
4,2/28/2019 11:34:58:238,19.701,0,19.925,0,19.838,0,20.664,0,20.709,0,20.702,0,20.65,0,20.46,0,-1.2658068,0,-1.2775286,0
5,2/28/2019 11:35:08:268,19.706,0,19.929,0,19.843,0,20.671,0,20.698,0,20.706,0,20.644,0,20.46,0,-1.2663418,0,-1.2775668,0
6,2/28/2019 11:35:18:238,19.697,0,19.923,0,19.834,0,20.679,0,20.721,0,20.716,0,20.643,0,20.484,0,-1.2660488,0,-1.2775668,0
7,2/28/2019 11:35:28:257,19.693,0,19.91,0,19.836,0,20.67,0,20.712,0,20.701,0,20.648,0,20.463,0,-1.2662017,0,-1.2775795,0
8,2/28/2019 11:35:38:239,19.713,0,19.935,0,19.837,0,20.669,0,20.698,0,20.694,0,20.64,0,20.456,0,-1.2667111,0,-1.2775158,0
9,2/28/2019 11:35:48:258,19.686,0,19.917,0,19.832,0,20.674,0,20.714,0,20.701,0,20.654,0,20.465,0,-1.2663036,0,-1.277605,0
10,2/28/2019 11:35:58:284,19.695,0,19.913,0,19.84,0,20.67,0,20.704,0,20.712,0,20.65,0,20.486,0,-1.2662526,0,-1.2775795,0
11,2/28/2019 11:36:08:261,19.684,0,19.914,0,19.831,0,20.667,0,20.715,0,20.719,0,20.638,0,20.468,0,-1.2661762,0,-1.2776687,0
12,2/28/2019 11:36:18:245,19.705,0,19.921,0,19.833,0,20.681,0,20.698,0,20.708,0,20.652,0,20.462,0,-1.2664054,0,-1.2775286,0
13,2/28/2019 11:36:28:262,19.691,0,19.938,0,19.829,0,20.677,0,20.727,0,20.725,0,20.66,0,20.465,0,-1.2662653,0,-1.2775413,0
14,2/28/2019 11:36:38:280,19.722,0,19.942,0,19.842,0,20.681,0,20.723,0,20.75,0,20.659,0,20.46,0,-1.2659087,0,-1.2776559,0
15,2/28/2019 11:36:48:250,19.724,0,19.942,0,19.838,0,20.69,0,20.709,0,20.748,0,20.64,0,20.468,0,-1.266138,0,-1.2775795,0
16,2/28/2019 11:36:58:266,19.73,0,19.959,0,19.842,0,20.704,0,20.721,0,20.792,0,20.657,0,20.464,0,-1.2662781,0,-1.2775413,0
17,2/28/2019 11:37:08:238,19.762,0,19.976,0,19.857,0,20.715,0,20.74,0,20.835,0,20.654,0,20.472,0,-1.2658068,0,-1.2775795,0
18,2/28/2019 11:37:18:252,19.789,0,20.02,0,19.859,0,20.73,0,20.753,0,20.873,0,20.659,0,20.485,0,-1.2666856,0,-1.2775031,0
19,2/28/2019 11:37:28:271,19.816,0,20.036,0,19.881,0,20.753,0,20.757,0,20.93,0,20.672,0,20.483,0,-1.2662017,0,-1.2775413,0
20,2/28/2019 11:37:38:238,19.835,0,20.062,0,19.892,0,20.78,0,20.776,0,20.997,0,20.682,0,20.506,0,-1.2666219,0,-1.2775668,0
21,2/28/2019 11:37:48:258,19.859,0,20.123,0,19.916,0,20.818,0,20.803,0,21.072,0,20.698,0,20.52,0,-1.2641639,0,-1.2775286,0
22,2/28/2019 11:37:58:277,19.909,0,20.155,0,19.937,0,20.848,0,20.81,0,21.153,0,20.707,0,20.538,0,-1.2646861,0,-1.2775031,0
23,2/28/2019 11:38:08:239,19.954,0,20.199,0,19.964,0,20.881,0,20.845,0,21.237,0,20.732,0,20.562,0,-1.2645587,0,-1.2774904,0
24,2/28/2019 11:38:18:261,20.017,0,20.249,0,19.989,0,20.915,0,20.852,0,21.321,0,20.751,0,20.567,0,-1.2647243,0,-1.2775668,0
25,2/28/2019 11:38:28:238,20.066,0,20.3,0,20.03,0,20.965,0,20.894,0,21.441,0,20.77,0,20.594,0,-1.2612092,0,-1.2775031,0
26,2/28/2019 11:38:38:257,20.14,0,20.365,0,20.063,0,21.004,0,20.922,0,21.515,0,20.804,0,20.618,0,-1.2612601,0,-1.2774904,0
27,2/28/2019 11:38:48:281,20.196,0,20.429,0,20.101,0,21.079,0,20.963,0,21.641,0,20.841,0,20.655,0,-1.2594516,0,-1.2775541,0
28,2/28/2019 11:38:58:254,20.264,0,20.486,0,20.158,0,21.108,0,20.999,0,21.77,0,20.869,0,20.699,0,-1.2593625,0,-1.2775923,0
29,2/28/2019 11:39:08:274,20.337,0,20.566,0,20.183,0,21.161,0,21.022,0,21.871,0,20.913,0,20.718,0,-1.2592351,0,-1.2774904,0
30,2/28/2019 11:39:18:241,20.425,0,20.62,0,20.242,0,21.223,0,21.044,0,21.996,0,20.933,0,20.755,0,-1.256637,0,-1.2775031,0
31,2/28/2019 11:39:28:259,20.499,0,20.681,0,20.286,0,21.28,0,21.077,0,22.114,0,20.979,0,20.782,0,-1.2564332,0,-1.2774649,0
